id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag
4370,8108.3509,1635.707,0.49762238,0.98271805,0.56853116,25,0,7,1.0351154,-0.037471884
4371,8551.3838,1634.3517,0.40743601,0.76281619,0.4790262,25,0,22,2.9746804,-1.1836008
4372,2896.1772,1636.354,0.45616748,-0.45373717,-0.041733685,25,0,13,2.391211,-0.94654476
4373,4094.3054,1635.8936,0.5445391,-0.31887051,-0.054624717,25,0,68,12.464035,-2.7391467
4374,4125.266,1635.8984,0.48086761,-0.1272608,-0.042842788,25,0,13,2.4574165,-0.97619694
4375,6139.228,1636.3616,0.41972236,0.15515547,0.098542933,25,0,13,2.5988433,-1.0369503
4376,6908.2512,1636.1924,0.42785317,-0.036058497,-0.061484036,25,0,22,3.7887743,-1.4462468
4377,4530.6472,1636.7593,0.48583339,0.0042376914,-0.16003231,25,0,8,1.746266,-0.605276
4378,5551.2632,1637.0781,0.50677432,-0.11630518,-0.10833817,25,0,22,4.1254773,-1.5386855
4379,1039.9214,1639.6631,0.48461761,-0.73054367,0.69584801,25,0,10,1.5630776,-0.48495133
4380,658.41486,1639.8708,0.47540367,-0.46528912,0.55304856,25,0,8,1.1153604,-0.11853803
4381,4706.0481,1638.6065,0.54151704,0.043551758,-0.040323989,25,0,23,3.9727015,-1.4977148
4382,7700.3229,1639.3961,0.42445031,0.59326708,0.01055423,25,0,13,1.7489562,-0.60694734
4383,699.34767,1640.4482,0.58405703,-0.63354123,0.23448838,25,0,9,1.2969537,-0.28231116
4384,2503.842,1640.4446,0.45876205,-0.22802141,0.17512886,25,0,11,2.0144296,-0.76038022
4385,2875.9495,1640.0123,0.50127518,-0.3232148,-0.064548119,25,0,6,1.1484632,-0.15029276
4386,3937.1047,1640.3977,0.51772544,-0.29055378,0.10273146,25,0,19,3.3066533,-1.2984716
4387,6073.621,1640.1948,0.53368642,0.48509154,-0.067698329,25,0,11,2.0722704,-0.79111606
4388,1286.3001,1641.8082,0.6182965,-0.093633682,0.40254765,25,0,8,1.2006295,-0.1985225
4389,2669.9398,1641.1712,0.51351668,-0.28760034,0.1757311,25,0,2722,462.03476,-6.6616866
4390,7636.478,1641.2994,0.43448806,0.025386574,-0.14358212,25,0,19,3.138155,-1.241686
4391,2813.019,1641.66,0.46473511,-0.05985162,0.17511126,25,0,72,12.02903,-2.7005765
4392,7703.6345,1642.5371,0.453805,0.1200699,0.11774703,25,0,41,6.2094536,-1.9826335
4393,2597.7698,1642.9041,0.4935678,-0.080272339,0.046485447,25,0,18,3.0080771,-1.1957224
4394,4606.3151,1643.5963,0.41920904,0.2426196,0.08367869,25,0,12,2.4213295,-0.96013473
4395,6986.9469,1642.8974,0.57496944,0.13150775,0.18582206,25,0,9,1.5018958,-0.4415995
4396,8271.6187,1643.6682,0.43388291,0.81384635,0.29020304,25,0,7,1.2919297,-0.27809722
4397,8927.5701,1643.0443,0.48515721,0.56789178,0.071835439,25,0,13,1.9672873,-0.73466947
4398,760.26836,1643.7575,0.58346381,-0.0075506498,0.94710787,25,0,8,1.0645833,-0.067949124
