id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
60 2154.2056 775.16533 0.52628019 0.25019369 0.070266713 25 0 1234.8896 5.337379 -1.8183201
61 1365.015 780.60781 0.48563348 0.54838711 0.3985259 25 0 1551.1694 6.3103037 -2.0001257
62 869.27035 784.94773 0.55361911 -0.037175901 -0.051513567 25 0 1006.305 4.0049829 -1.5065017
63 102.24125 792.45632 0.75693909 -0.31081682 -0.076904446 25 0 316.48065 1.1139114 -0.11712661
64 300.22749 830.27557 0.50461238 0.17314838 0.0060306415 25 0 803.16058 3.595856 -1.3895057
65 217.21345 835.8727 0.34844867 0.32261726 0.19169763 25 0 331.57718 1.5978018 -0.50880727
66 338.23625 836.36563 0.28776593 0.23199217 0.038874776 25 0 524.48639 2.2874246 -0.89836695
67 759.5598 871.45887 0.38299516 0.29586598 0.40798906 25 0 335.07462 1.4975797 -0.43847486
68 1326.4948 884.93005 0.3593265 0.48697549 -0.48166958 25 0 181.8555 1.0116001 -0.012522198
69 1795.714 904.91641 0.54918249 -0.37284896 -0.25045003 25 0 312.01059 1.3703974 -0.34211635
70 2532.8877 976.14748 0.56483557 -0.03522636 -0.12129711 25 0 363.6618 1.404936 -0.36914132
71 2414.7728 976.77503 0.48544909 0.28876153 0.014809297 25 0 2787.2039 12.326623 -2.7271103
72 435.61963 1007.3083 0.50189981 0.056903496 -0.075151352 25 0 4147.0879 16.949635 -3.0729008
73 1845.1875 1037.8322 0.53273133 -0.025661478 0.048615536 25 0 45201.203 187.27808 -5.6812173
74 2833.7281 1057.2594 0.3989504 -0.22167754 -0.4318128 25 0 347.49948 1.6573865 -0.54855952
75 2518.1135 1069.6899 0.53694868 0.25172246 -0.036621592 25 0 372.79898 1.8194145 -0.64982913
76 208.07836 1074.986 0.50880456 0.58775949 0.12878062 25 0 316.69342 1.3844633 -0.35320363
77 1300.3144 1076.3942 0.32405948 0.42307445 0.054060241 25 0 360.12885 1.7213614 -0.58968015
78 2921.8286 1093.2803 0.42084732 -0.3610898 -0.3851364 25 0 266.82867 1.318635 -0.30031149
79 991.31134 1105.7537 0.46058332 -0.02603231 -0.47019028 25 0 698.52301 2.8663151 -1.1433098
80 1789.2254 1148.7595 0.4990923 0.11969879 0.27872873 25 0 243.71277 1.1926236 -0.19125851
81 192.00047 1197.1626 0.5551581 -0.018849069 0.28001928 25 0 250.2894 1.0065238 -0.0070601727
82 664.0772 1197.1357 0.40809921 -0.2751734 -0.17828962 25 0 273.3338 1.4580681 -0.40944455
83 1110.1818 1224.4741 0.52040292 -0.24901722 0.015169071 25 0 33232.562 138.90878 -5.3568243
84 796.00081 1235.6821 0.38508038 -0.2001452 -0.25019486 25 0 326.44208 1.6343787 -0.53338172
85 180.80823 1241.3993 0.44965558 0.42432073 0.18915419 25 0 468.44379 1.8931339 -0.69295332
86 782.13424 1273.6144 0.45660935 0.00094145094 0.22410553 25 0 347.98413 1.5400317 -0.46882413
87 1392.2149 1275.4626 0.51115705 -0.15416506 -0.07591134 25 0 784.28931 3.2487693 -1.2792972
88 2731.566 1293.9943 0.31741535 -0.781721 -0.39502973 25 0 172.61511 1.1740103 -0.17417975
89 595.48824 1300.6872 0.47557118 0.12893827 -0.21687441 25 0 1160.6266 4.998292 -1.7470541
90 2172.9785 1322.7844 0.54419454 -0.40002328 -0.7337186 25 0 184.02614 1.0586331 -0.061863661
91 141.57858 1348.3873 0.58472882 -0.069297761 -0.24794177 25 0 524.58118 2.3431013 -0.92447765
92 2683.3484 1380.6742 0.46167476 -0.15712573 -0.14764916 25 0 3835.0713 17.090202 -3.081868
93 1800.342 1419.3845 0.47007006 -0.073160201 0.062553642 25 0 301.9679 1.3473169 -0.32367436
94 228.89704 1456.8705 0.52232064 0.5315423 0.4248845 25 0 677.49011 2.9018118 -1.1566731
95 1842.0755 1465.8476 0.30344599 0.83523679 0.25248399 25 0 171.55644 1.3099838 -0.29316485
96 1842.6879 1467.5741 0.98918881 0.90812063 0.25802708 25 0 401.05832 1.6131408 -0.5191807
97 1819.5805 1474.3652 0.60373065 -0.10944773 0.18620637 25 0 319.37286 1.3092228 -0.29253391
98 2767.1992 1480.6164 0.67761809 -0.53327578 0.13363442 25 0 360.60596 1.3636624 -0.33676713
99 393.10433 1488.116 0.61250821 -0.67645675 -0.28124277 25 0 530.4895 2.2487152 -0.87983612
100 2819.9997 1489.7392 0.53228084 0.0083135879 -0.081909927 25 0 2036.214 8.7729864 -2.3578686
101 2696.4574 1527.3153 0.63122173 0.27464816 -0.065445474 25 0 874.53314 3.4344549 -1.3396446
102 217.2253 1537.2688 0.52237683 0.17856038 -0.29312323 25 0 608.55347 2.637887 -1.0531405
103 2384.1012 1556.8986 0.77274713 0.4853307 0.15965921 25 0 322.56866 1.1813445 -0.18094142
104 620.402 1562.1068 0.36845932 -0.38275206 -0.29942882 25 0 390.224 1.7267787 -0.59309174
105 104.73503 1569.5564 0.42539115 0.19153175 -0.19343867 25 0 281.82941 1.2604563 -0.2513195
106 309.03701 1569.644 0.51328947 0.26300418 0.0036024827 25 0 909.06494 4.1320968 -1.5404262
107 1521.942 1605.1233 0.2344167 -0.18683441 0.14900233 25 0 193.34712 1.0049503 -0.0053614442
108 70.303141 1619.5744 0.84023441 0.29353568 -0.28583687 25 0 243.66626 1.0248033 -0.026601268
109 213.04349 1621.3896 0.55809566 0.023838121 0.0053931081 25 0 420.52853 1.8600677 -0.67382189
110 2096.8723 1622.8907 0.49077005 0.20510446 -0.11510711 25 0 776.09174 3.3415587 -1.3098727
111 2870.314 1644.0552 0.52249856 -0.53667665 -0.065594236 25 0 238.11447 1.2489831 -0.24139144
112 1100.5091 1647.6974 0.46901787 -0.25119752 -0.35370976 25 0 246.33234 1.280454 -0.26840999
113 2917.2595 1647.843 0.45505481 -0.16131116 -0.17366739 25 0 444.00397 2.1076536 -0.8094981
114 1105.3376 1650.6576 0.6431508 -0.5763849 -0.40957815 25 0 356.09241 1.2839245 -0.27134868
115 2557.2008 1652.4909 0.3728571 -0.13327537 -0.065748512 25 0 549.86633 2.4053011 -0.95292362
116 2062.1258 1671.5033 0.49899512 -0.059764765 0.12096791 25 0 3256.9604 15.015701 -2.9413641
117 2233.2558 1674.8876 0.41402003 0.28939956 -0.51792247 25 0 268.4382 1.5165682 -0.45215485
118 2508.0655 1728.1426 0.53742926 -0.12127053 -0.081233519 25 0 8739.5479 38.955875 -3.9764324
119 382.82304 1741.8329 0.37018747 -0.13175382 -0.17178716 25 0 456.48911 2.3294537 -0.91813521
120 2262.4597 1774.9733 0.43561843 -0.15617064 -0.16579657 25 0 269.68484 1.5473402 -0.47396449
121 385.12587 1779.2643 0.50631915 -0.17673005 -0.087219834 25 0 2058.4648 9.3217087 -2.4237388
122 2329.7605 1817.5772 0.4933443 -0.17126778 0.14671221 25 0 1754.583 7.485249 -2.1855156
123 494.39228 1820.4758 0.54664028 0.072843008 -0.19243696 25 0 449.49423 1.896184 -0.69470118
124 1719.8332 1821.5262 0.39500849 -0.58234787 -0.046387456 25 0 198.95956 1.0645989 -0.067965051
125 3035.4787 1832.4583 0.40730858 0.48101935 -0.12833167 25 0 290.20895 1.4929804 -0.43513524
126 421.18159 1893.5191 0.51572778 -0.20584588 -0.055644891 25 0 1836.9187 7.9022417 -2.2443758
127 3065.6006 1913.9668 0.76614255 0.043959927 0.42688889 25 0 407.90433 1.355756 -0.33045387
128 861.73818 1934.5323 0.49259957 -0.20269816 0.15938717 25 0 3338.1665 14.017216 -2.8666544
129 2130.8918 1937.1926 0.40851078 -0.51073152 -0.12797221 25 0 352.36783 1.9795835 -0.74143456
130 583.77251 1970.9076 0.53368273 -0.0014667301 0.0037116106 25 0 906.7074 3.635448 -1.4013948
131 3086.8001 1970.7493 0.40147657 -0.074400477 -0.15123193 25 0 1120.0673 4.9030948 -1.7261757
132 2488.2001 2009.4841 0.62077427 0.42586982 0.22442677 25 0 232.28186 1.0963129 -0.099836292
133 1580.0659 2026.6601 0.35016871 -0.30383494 -0.018851013 25 0 583.45416 2.7232735 -1.0877282
134 663.42649 2049.8074 0.41734051 -0.40996274 -0.078137275 25 0 2794.6882 11.671346 -2.6678023
135 866.69748 2064.9047 0.50669155 -0.098605931 -0.012035692 25 0 1235.323 5.4027772 -1.8315426
136 3101.7879 2070.9376 0.46957923 0.18810056 -0.16145579 25 0 806.68793 4.1028237 -1.5327071
137 1360.5368 2082.2406 0.5971214 -0.28273368 0.14306579 25 0 320.52847 1.3990504 -0.36458337
138 1222.9788 2092.5955 0.94234602 -0.017934142 0.075137873 25 0 1416.5659 6.4405851 -2.0223133
139 2950.1947 2131.5981 0.46209092 0.011779025 0.018694516 25 0 32390.1 140.55801 -5.369639
140 2450.2289 2133.9749 0.50263486 0.06469892 0.0934572 25 0 2908.7607 12.483632 -2.7408524
141 2283.5708 2142.8961 0.5148146 -0.036913499 0.025678239 25 0 1482.2516 6.6846013 -2.0626888
142 1.6706461 2144.3958 0.46553249 0.0069019506 0.34884137 25 0 89.215012 1.0266753 -0.02858283
143 1746.1811 2168.7189 0.31449133 0.074645355 0.16188445 25 0 233.21484 1.3874606 -0.35555164
144 1546.7347 2173.5213 0.54927388 -0.44754991 0.13475272 25 0 2774.6008 11.235733 -2.6265035
145 1198.3226 2184.2205 0.43281583 0.038306054 0.061401902 25 0 831.32001 3.757812 -1.4373376
146 1440.3763 2202.5199 0.46061128 -0.12419214 0.15037698 25 0 446.75531 1.8055711 -0.64153647
147 1863.8703 2207.7531 0.41575279 -0.20936806 -0.12898029 25 0 274.88171 1.2908536 -0.27719249
148 1596.8532 2210.6583 0.43044557 -0.087235257 0.12597899 25 0 3340.5295 14.544451 -2.9067433
149 2268.9829 2223.5992 0.47217167 0.3034128 0.3308632 25 0 11356.428 48.695381 -4.2187194
150 56.074283 2226.896 0.28903614 0.56825095 -0.45904369 25 0 64.994324 1.036213 -0.038622634
151 1121.4537 2261.7077 0.51614563 0.30250111 0.046885167 25 0 455.94339 1.8279834 -0.65493061
152 1766.7157 2266.0729 0.50725 -0.078433789 0.19302958 25 0 6807.9956 29.420246 -3.6716158
153 225.00791 2266.9147 0.61554902 -0.40200862 -0.058789187 25 0 1895.4625 7.6112628 -2.2036418
154 1164.0686 2288.7753 0.52240416 -0.0040974114 0.12871775 25 0 14366.05 59.722351 -4.4403422
155 187.70204 2293.9537 0.47669946 -0.44618028 -0.051089794 25 0 3249.0935 14.2148 -2.8818519
156 2512.9617 2294.0646 0.34710654 0.15705501 0.19262528 25 0 197.70518 1.1681135 -0.16871258
